ABIO,9321470|
ACAMU,0|
ACHV,6090160|
ACNB,8703310|
ADXN,5636320|
AFINP,0|
AGBA,5975000|
AHPI,4013540|
AIRG,9767960|
AIRT,2881850|
ALAC,4615240|
ALACU,2500000|
ALACW,2500000|
ALCO,7486110|
ALIM,5719370|
ALOT,7168420|
ALTM,3746460|
AMCI,9061140|
AMCIU,5000000|
AMOT,9757690|
AMRB,5937530|
AMRK,7090070|
AMTBB,9036350|
ANCN,7419870|
ANDA,4417400|
ANDAU,2875000|
ANY,7867190|
APDN,7471330|
APEX,569130|
APOP,3909490|
APVO,4378760|
ARKR,3502410|
ARTNA,8459520|
ARTW,4431690|
ATLO,9122750|
ATRI,1828950|
AUBN,3566220|
AVNW,5461440|
AXAS,8403460|
BANX,6565410|
BBQ,9284100|
BBSI,7646320|
BCOW,4769950|
BCTF,3153610|
BELFA,2144910|
BFC,7730070|
BKEPP,0|
BKSC,5520470|
BKYI,7787500|
BLCM,6099780|
BLIN,4420170|
BLPH,9497780|
BNSO,4893120|
BNTC,4405470|
BOSC,4391000|
BOTJ,4339440|
BPRN,6783070|
BPTH,4541860|
BPYPP,0|
BRID,9076830|
BRLI,6111000|
BRPA,2688240|
BSET,9976510|
BSTC,7344960|
BSVN,9044760|
BWFG,7896500|
CALB,8149680|
CARV,3004640|
CATC,6928290|
CBAN,9498780|
CBFV,5397890|
CBMB,3785860|
CFBI,7570800|
CFBK,5305060|
CFFI,3649700|
CGIX,4085300|
CGO,8912300|
CHCI,7863580|
CHFS,2736060|
CHMG,4656860|
CIZN,5587070|
CLCT,9058660|
CLDB,4223150|
CLEU,6333330|
CLGN,6567540|
CLWT,3092860|
CNBKA,3655470|
CNFR,9678460|
CNNB,2975620|
COFS,7795100|
COKE,7141450|
CPAH,6440140|
CPHC,4718820|
CPTA,2711070|
CRAI,7776330|
CREG,3125470|
CRMT,6624650|
CRSAU,7187500|
CRWS,9978260|
CSPI,4276810|
CSSE,5016380|
CTIB,5783650|
CUBA,6133660|
CVCO,9188160|
CVLY,9795360|
CVV,6648500|
CWBC,8473060|
CYAN,6097070|
CYBE,7254680|
CYCC,4863980|
DAIO,8416340|
DCTH,5795780|
DHIL,3163270|
DISCB,6512380|
DJCO,1380750|
DLPN,6560340|
DRIO,8114360|
DUOT,3534020|
EBMT,6756110|
EDRY,2349530|
EDUC,8355970|
EFOI,3501650|
EKSO,8316310|
ELSE,3395520|
ELTK,4380270|
EMCF,2708710|
EML,6242910|
ESBK,3512210|
ESEA,5968410|
ESQ,7662840|
EYEG,7042080|
FBIZ,8529010|
FBSS,3794720|
FCAP,3375760|
FCCO,7492910|
FCNCA,8811220|
FDBC,4977750|
FEIM,9177960|
FFBW,7707380|
FFHL,3265840|
FFNW,9785870|
FGBI,9741250|
FLXS,7316200|
FONR,6447460|
FORD,9886350|
FRAF,4372760|
FRPH,9418380|
FSBW,4240830|
FSEA,6083500|
FSFG,2373730|
FUNC,7110020|
FUSB,6176560|
FWP,6891970|
FXNC,4858220|
GCBC,8513410|
GFED,4364150|
GLBS,3013520|
GLBZ,2842040|
GRNV,7187500|
GRVY,6948900|
GURE,9997480|
GYRO,1482680|
HBCP,8755250|
HCAP,5958480|
HFBL,1683460|
HIFS,2136900|
HIHO,3971820|
HJLI,2234140|
HMNF,4836360|
HNNA,7359940|
HSKA,9454770|
HSON,2684970|
HTGM,4739760|
HURC,6570640|
HUSN,6406150|
HVBC,2221740|
HWBK,6480110|
ICBK,6270300|
ICCC,7212920|
ICCH,3293320|
IDXG,4041600|
IIN,8943370|
IKNX,1976350|
IMRN,5602500|
IMTE,6513670|
INBK,9800570|
INTG,2283920|
IPWR,2975390|
IROQ,3240380|
ISIG,1747880|
ISNS,5346290|
ITIC,1892410|
JAKK,4947920|
JAN,1829980|
JBSS,8822210|
JCS,9320480|
JCTCF,3481160|
JOUT,8886830|
JRJC,2441960|
JVA,5708600|
KBSF,2591300|
KELYB,3427540|
KEQU,2762800|
KFFB,8236720|
KLXE,8510120|
KOSS,7404830|
KRUS,7371640|
KZIA,9462340|
LACQ,6262280|
LAKE,8019980|
LANDP,0|
LARK,4736540|
LAWS,9030330|
LAZY,9451850|
LEDS,4011320|
LEVL,7734320|
LIVE,1555180|
LIVK,8050000|
LMB,7926140|
LMST,6500160|
LOAC,2625620|
LOAN,9619940|
LSBK,5828050|
LSXMB,9803200|
LTBR,5631560|
LTRN,6217580|
LTRPB,2952570|
LUMO,8297060|
MARPS,2000000|
MAYS,2015780|
MBCN,6378960|
MBOT,7108130|
MDIA,1785880|
MDRR,4797970|
MEDS,8093200|
MFH,8224050|
MGEN,3908160|
MGYR,5810750|
MLAB,5118650|
MLVF,7609950|
MMAC,5706370|
MNSB,7365140|
MOSY,3554180|
MPB,8415590|
MRBK,6132400|
MRIN,9015000|
MSTR,7252960|
MSVB,3174660|
MTEX,2087790|
MTSL,4412410|
MYFW,7951750|
MYSZ,8597340|
MYT,7944210|
NAII,6475670|
NATH,4114930|
NBAC,7460000|
NBN,8191790|
NCSM,2359920|
NCTY,8959230|
NEPH,9864670|
NETE,4845210|
NICK,7800000|
NKSH,6479000|
NRIM,6233760|
NSEC,2531450|
NSYS,2657530|
NTIC,9104640|
NURO,3784660|
NVEC,4833230|
NVFY,5556550|
NWFL,8201130|
NWLI,3436020|
NWPX,9805440|
OBAS,5216260|
OBCI,9462100|
OCC,7537090|
OCCI,3580660|
OCCIP,0|
OFED,5604430|
ONVO,6732090|
OPHC,2951350|
OPNT,4258100|
OPOF,5222380|
OTEL,3421790|
OVBC,4787450|
OVLY,8218870|
OXBR,5733590|
PATI,3377280|
PBHC,4528880|
PBIP,8138680|
PDEX,3860640|
PEBK,5787500|
PECK,6152870|
PFIN,3151060|
PFIS,7222840|
PHIO,5780590|
PLBC,5181030|
PLPC,4915540|
PMD,5526490|
PNBK,3937040|
PNRG,1994180|
PPHI,3615500|
PPIH,8164990|
PPSI,8726040|
PROV,7442250|
PSHG,5015500|
PSTV,4779580|
PTSI,5734510|
PTVCA,2603350|
PWOD,7051780|
QADB,3330320|
RAND,2583770|
RBCN,2421820|
RCKY,7242430|
RCON,7202830|
RDIB,1680590|
RFIL,9848250|
RGCO,8149980|
RICK,8999910|
RIVE,9281020|
RMBL,2191630|
RMCF,6074290|
RNDB,5523520|
ROCH,9828000|
RRBI,7325330|
SAL,2843290|
SAMG,9544610|
SBFG,7546800|
SCKT,6080140|
SCON,3151780|
SEED,5011720|
SELF,9356200|
SENEA,7361440|
SENEB,1718000|
SFBC,2595290|
SFST,7734640|
SGA,5038970|
SGBX,8596190|
SGLB,7707100|
SGMA,4257510|
SILC,7175730|
SINO,5998790|
SMBC,9119150|
SMIT,3802250|
SNDE,6875670|
SNES,4099510|
SNOA,2075450|
SOHOB,0|
SOHON,0|
SOHOO,0|
SQBG,1651480|
SSBI,6069600|
SSNT,4501270|
STND,4774160|
STRS,8221010|
STRT,3859890|
SUMR,2131510|
SVVC,6893060|
SYNL,9108690|
TACT,8928880|
TAIT,5042740|
TAOP,7655200|
TATT,8874700|
TAYD,3488120|
TBNK,9513870|
TCCO,1850400|
TCFC,5913580|
TDACU,7050050|
TECTP,4051660|
TESS,8760560|
THCBU,0|
THMO,7796170|
TRMT,8303250|
TRNS,7434650|
TSBK,8315990|
TSCAP,1610000|
TSRI,1962060|
TTNP,6650000|
TYHT,3039940|
UBCP,5976350|
UBOH,3271650|
UFPT,7494780|
UG,4594320|
UNAM,5305110|
UNB,4475310|
UONE,4441640|
USAK,8760320|
USAP,8829730|
USAU,5756710|
USEG,3243650|
USLM,5630760|
UTMD,3640400|
VALU,9589350|
VBFC,1466220|
VIVE,2165380|
VRME,5600700|
VRTS,7613150|
VTSI,7767530|
WAFU,4381030|
WEYS,9820520|
WHLM,5157340|
WHLR,9702780|
WHLRD,0|
WHLRP,0|
WINA,3740300|
WISA,8328750|
WLFC,5975110|
WORX,9861730|
WRLD,6872920|
WSTG,4362200|
WSTL,7523720|
WVFC,1902690|
WVVI,4964530|
XBIO,8745210|
XTLB,5142060|
YTEN,3334050|
ZGYH,7219500|
